"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"AMERICAN","IPA",20,1.079,1.017,8.14,62.35,7.92,104,70,37,70,"Specific Gravity","BIAB"
"SWEET","STOUT",15.14,1.084,1.017,8.83,94.99,14.09,46,60,51,76,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.056,1.011,6,65.05,9.16,95,60,25,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",19.87,1.068,1.017,6.68,93.18,6.89,95,60,31,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",22.71,1.054,1.012,5.55,39.96,7.6,103,60,26,71,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.048,1.011,4.89,46.21,9.28,95,60,19,68,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.055,1.011,5.89,64.21,4.67,7,30,74,35,"Specific Gravity","extract"
"AMERICAN","PALE",56.78,1.06,1.015,5.84,31.39,6.42,155,60,48,85,"Specific Gravity","All Grain"
"AMERICAN","IPA",5,1.038,1.009,3.86,115.78,5.56,149,60,22,50,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.051,1.008,5.57,28.17,13.2,14,60,68,70,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",21.5,1.048,1.006,5.55,39.36,5.99,93,60,21,51,"Specific Gravity","All Grain"
"DOUBLE","IPA",21,1.084,1.021,8.3,85.9,7.89,68,60,58,35,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",24.61,1.071,1.016,7.22,95.49,7.19,116,90,38,77,"Specific Gravity","All Grain"
"CREAM","ALE",7.57,1.043,1.011,4.22,18.9,3.69,185,60,27,25,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.075,1.021,7.12,75.86,6.59,95,60,39,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.051,1.013,4.97,75.8,7.17,7,60,67,85,"Specific Gravity","extract"
"CZECH","PALE",27,1.051,1.01,5.39,25.23,3.15,107,75,30,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.059,1.014,5.89,47.49,5.09,143,60,33,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",3.79,1.061,1.011,6.61,99.69,8.19,132,60,35,70,"Specific Gravity","All Grain"
"BELGIAN","PALE",12,1.045,1.016,3.75,24.98,7.8,38,70,17,78,"Specific Gravity","All Grain"
"OATMEAL","STOUT",19.87,1.072,1.024,6.28,47.82,35.8,77,60,40,80,"Specific Gravity","BIAB"
"SPECIALTY","IPA",15,1.057,1.016,5.53,67.35,37.64,44,60,31,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.077,1.019,7.57,42.23,8.48,46,60,68,35,"Specific Gravity","extract"
"AMERICAN","IPA",24.61,1.054,1.01,5.72,95.53,13.08,28,60,19,35,"Specific Gravity","extract"
"AMERICAN","IPA",41.64,1.065,1.015,6.52,0,8.53,155,60,35,75,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",41.64,1.1,1.027,9.59,98.37,38.04,155,60,63,85,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.053,1.009,5.82,49.18,9.18,129,70,20,67,"Specific Gravity","All Grain"
"BELGIAN","PALE",20.82,1.055,1.014,5.37,39.95,8.87,67,60,32,75,"Specific Gravity","All Grain"
"DRY","STOUT",25,1.046,1.011,4.52,14.06,46.84,1,30,94,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.069,1.02,6.83,77.38,5.33,108,60,32,77,"Specific Gravity","BIAB"
"AMERICAN","STOUT",19.5,1.064,1.018,6.03,49.84,33.91,14,60,85,50,"Specific Gravity","extract"
"OATMEAL","STOUT",20.82,1.06,1.02,5.25,49.79,39.5,95,60,28,70,"Specific Gravity","BIAB"
"AMERICAN","STOUT",23.66,1.061,1.02,5.34,43.71,35.61,95,60,34,80,"Specific Gravity","BIAB"
"AMERICAN","STOUT",20.82,1.065,1.016,6.36,77.35,50,83,60,35,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.074,1.02,7.11,47.26,4.85,71,60,41,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",23.09,1.06,1.012,6.33,69.95,33.12,105,60,31,72,"Specific Gravity","BIAB"
"IMPERIAL","IPA",22.71,1.071,1.012,7.8,122.06,7.85,108,60,37,65,"Specific Gravity","All Grain"
"OATMEAL","STOUT",24.5,1.058,1.011,6.13,36.26,41.42,119,80,27,74,"Specific Gravity","All Grain"
"ENGLISH","PORTER",20.82,1.044,1.01,4.44,27.39,24.42,95,60,16,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.062,1.012,6.61,43.96,10.86,112,60,28,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",41.64,1.065,1.018,6.13,169.97,7.34,139,60,46,70,"Specific Gravity","All Grain"
"CREAM","ALE",18.93,1.051,1.01,5.32,20.78,2.96,95,60,18,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.058,1.014,5.85,56.84,17.72,95,60,27,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",11.36,1.052,1.009,5.57,39.73,5.9,28,60,23,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",47,13.8981,3.72112,5.49,47.24,6.66,173,60,122,73,"Plato","All Grain"
"BLONDE","ALE",75,1.045,1.008,4.82,19.7,3.49,198,60,25,82,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.057,1.016,5.37,29.02,5.24,77,60,30,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",23,1.05,1.011,5.07,25.88,6.11,44,60,47,35,"Specific Gravity","extract"
"CREAM","ALE",4.54,1.051,1.012,5.12,17.75,5.05,193,60,12,75,"Specific Gravity","BIAB"
"CZECH","PALE",20.82,1.044,1.011,4.29,46.49,3.36,95,60,16,65,"Specific Gravity","All Grain"
"IMPERIAL","IPA",24.61,1.068,1.005,8.2,53.8,5.84,95,30,43,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.056,1.011,5.97,57.29,9.68,97,60,25,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.05,1.009,5.28,42.13,5.85,95,60,20,70,"Specific Gravity","BIAB"
"BELGIAN","PALE",19,1.05,1.011,5.03,26.34,11.08,81,90,20,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.061,1.017,5.76,41.81,10.72,83,60,32,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",19,1.047,1.012,4.67,36.9,5.65,59,60,25,35,"Specific Gravity","extract"
"AMERICAN","PALE",39.75,1.059,1.015,5.79,38.22,5.16,108,60,61,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.067,1.012,7.23,65.3,8.35,95,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.081,1.02,8.01,136.65,45.48,7,60,108,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",20.82,1.068,1.019,6.39,226.18,7.2,95,60,34,75,"Specific Gravity","All Grain"
"ENGLISH","IPA",20,1.068,1.015,7.17,140.08,6.93,87,60,34,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.06,1.011,6.34,64.84,8.96,192,60,21,35,"Specific Gravity","extract"
"IMPERIAL","STOUT",20.82,1.052,1.014,5.01,30.55,34.62,83,60,25,71,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.048,1.013,4.61,42.38,5.55,103,60,18,73,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.062,1.019,5.65,63.91,6.02,28,60,68,75,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",19.87,1.069,1.012,7.42,45.26,9.53,83,60,35,66,"Specific Gravity","All Grain"
"DRY","STOUT",17,1.042,1.012,3.95,35.2,42.98,78,60,12,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.08,1.022,7.65,90.59,3.04,71,60,52,70,"Specific Gravity","BIAB"
"ENGLISH","IPA",13,1.063,1.013,6.53,49.79,8.76,38,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",11.36,1.056,1.011,5.87,27.55,5.67,28,60,26,75,"Specific Gravity","BIAB"
"ENGLISH","IPA",23,1.067,1.019,6.2,63.37,7.31,78,60,43,70,"Specific Gravity","All Grain"
"BROWN","PORTER",18.93,1.046,1.013,4.28,31.16,25.39,62,60,22,35,"Specific Gravity","extract"
"AMERICAN","IPA",25,1.07,1.015,7.13,65,38.07,111,90,40,80,"Specific Gravity","BIAB"
"AMERICAN","IPA",24.61,1.059,1.015,5.84,58.68,6.98,108,60,32,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.057,1.015,5.42,25.68,6.39,65,60,34,65,"Specific Gravity","BIAB"
"SPECIALTY","IPA",24,1.065,1.014,6.78,66.88,6.41,107,60,36,67,"Specific Gravity","BIAB"
"AMERICAN","IPA",41.64,1.075,1.023,6.77,60.22,5.71,143,60,53,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",170.34,1.048,1.011,4.96,35.14,6.1,47,60,29,67,"Specific Gravity","All Grain"
"AMERICAN","IPA",21.77,1.073,1.022,6.7,70.56,11.35,95,60,40,80,"Specific Gravity","BIAB"
"ENGLISH","IPA",15,1.062,1.015,6.08,41.98,6.1,48,60,33,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.058,1.017,5.44,86.15,6.04,115,60,29,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",45.42,1.064,1.011,7.03,71.17,44.94,159,90,37,83,"Specific Gravity","All Grain"
"BALTIC","PORTER",23,1.052,1.013,5.1,26.62,26.58,97,60,26,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",41.64,1.074,1.022,6.77,64.66,15.09,145,60,49,50,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",37.85,1.066,1.015,6.69,82.54,8.02,155,60,31,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",10.41,1.067,1.014,7.01,40.29,28.89,15,60,41,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",14,1.068,1.013,7.2,60.64,10.21,48,60,34,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.049,1.009,5.26,42.59,4.75,86,90,20,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.057,1.014,5.6,64.4,6.11,7,60,77,35,"Specific Gravity","extract"
"ENGLISH","PORTER",21,1.054,1.016,5.06,27.53,31.59,93,65,25,65,"Specific Gravity","All Grain"
"BLONDE","ALE",25,1.058,1.015,5.67,26.22,4.46,107,60,32,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.052,1.01,5.55,45.47,7.23,123,60,15,60,"Specific Gravity","All Grain"
"ENGLISH","IPA",21,1.053,1.013,5.18,43.93,6.41,93,60,23,70,"Specific Gravity","BIAB"
"OATMEAL","STOUT",151.42,1.067,1.018,6.49,33.46,32.9,35,60,48,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.041,1.008,4.36,17.23,2.8,202,55,66,35,"Specific Gravity","extract"
"AMERICAN","IPA",26,1.063,1.011,6.86,103.47,11.27,111,60,37,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.06,1.014,6.1,62.25,7.33,97,60,26,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",18.93,1.092,1.024,8.88,76.08,46.58,71,60,55,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.04,1.007,4.3,36.34,8.05,70,60,17,56,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.06,1.014,6.1,61.1,29.64,95,60,24,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",19.87,1.045,1.009,4.72,51.53,6.45,83,60,18,72,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.063,1.012,6.73,87.64,19.81,83,60,29,75,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.088,1.015,9.59,165.63,37.65,95,75,48,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",23,1.043,1.007,4.76,40.27,4.36,87,65,21,70,"Specific Gravity","BIAB"
"IMPERIAL","IPA",45,1.08,1.014,8.76,63.95,8.19,179,60,40,63,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",37.85,1.046,1.011,4.57,24.66,4.47,108,60,41,70,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",5.4,1.055,1.01,5.89,41.43,4.26,169,60,30,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.071,1.017,7.09,65.39,6.46,95,75,36,72,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.06,1.014,6.02,161.69,5.93,95,75,28,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.056,1.011,5.95,42.06,4.38,90,60,27,75,"Specific Gravity","BIAB"
"BLONDE","ALE",15.14,1.068,1.019,6.45,28.87,6.55,71,60,26,70,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",23,1.052,1.008,5.79,20.61,3.28,100,90,25,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.05,1.01,5.36,40.11,3.43,124,60,20,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.06,1.013,6.08,60.16,10.54,95,60,28,60,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.066,1.022,5.84,85.51,50,95,90,28,65,"Specific Gravity","All Grain"
"OATMEAL","STOUT",18.93,1.06,1.014,6.02,34.96,33.55,18,60,68,35,"Specific Gravity","extract"
"AMERICAN","PORTER",22.71,1.055,1.016,5.12,24.37,33.59,95,60,28,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.053,1.013,5.17,43.43,8.65,7,60,52,35,"Specific Gravity","extract"
"OATMEAL","STOUT",5.68,1.057,1.014,5.63,34.57,33.21,28,90,7,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",15,1.052,1.01,5.48,39.66,10.03,52,60,23,73,"Specific Gravity","All Grain"
"AMERICAN","PALE",43.53,1.056,1.016,5.13,51.71,11.28,145,60,35,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.065,1.017,6.34,81.55,4.74,95,90,32,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.049,1.009,5.27,69.85,7.74,95,60,20,60,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.068,1.017,6.73,69.88,7.37,95,70,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",26,1.049,1.011,4.95,59.2,5.11,97,60,29,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",492.1,1.053,1.009,5.71,48.77,4.11,140,60,44,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.045,1.009,4.83,43.16,8.93,73,60,20,63,"Specific Gravity","All Grain"
"BLONDE","ALE",18.93,1.045,1.009,4.64,23.12,3.99,71,60,18,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.5,1.058,1.013,5.88,57.86,8.38,76,60,31,78,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.068,1.013,7.19,87.08,7.31,103,60,32,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",35.96,1.059,1.014,5.9,72.1,6.08,136,60,35,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",613.24,1.056,1.007,6.41,18.11,4.38,177,90,39,75,"Specific Gravity","All Grain"
"SWEET","STOUT",20.82,1.047,1.015,4.16,36.56,36.64,7,60,68,35,"Specific Gravity","Partial Mash"
"SPECIALTY","IPA",20.82,1.057,1.015,5.48,58.57,6.98,83,60,28,75,"Specific Gravity","All Grain"
"BELGIAN","PALE",20.82,1.054,1.007,6.08,26.83,7.65,83,90,26,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",3.79,1.04,1.009,4.14,51.18,8.77,150,60,11,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",43.53,1.063,1.015,6.31,86.41,5.54,155,70,36,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.056,1.015,5.44,57.03,11.13,7,60,75,35,"Specific Gravity","extract"
"AMERICAN","PALE",22.71,1.053,1.013,5.26,32.16,9.64,83,60,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.061,1.011,6.6,65.24,8.26,68,60,35,73,"Specific Gravity","All Grain"
"AMERICAN","IPA",30.28,1.07,1.018,6.93,49.61,6.34,108,60,54,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",24.61,1.069,1.011,7.51,127.22,5.6,108,90,40,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",22,1.053,1.011,5.6,63,14.57,87,60,27,75,"Specific Gravity","BIAB"
"CREAM","ALE",80,1.045,1.011,4.45,13.18,4.34,151,60,56,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",11.36,1.06,1.014,6.05,70.44,7.76,40,60,24,65,"Specific Gravity","All Grain"
"IMPERIAL","IPA",24,1.074,1.018,7.28,0,10.61,107,90,43,45,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.066,1.014,6.84,68.09,5.38,83,60,36,68,"Specific Gravity","All Grain"
"SWEET","STOUT",21,1.063,1.017,6.03,0,26.02,6,20,98,88,"Specific Gravity","extract"
"AMERICAN","IPA",22,1.044,1.01,4.49,61.59,6.62,107,50,17,59,"Specific Gravity","BIAB"
"AMERICAN","IPA",24.5,1.055,1.009,6.04,64.95,4.28,107,60,29,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.065,1.012,6.92,94.91,7.73,7,60,97,35,"Specific Gravity","extract"
"ENGLISH","IPA",9.84,1.065,1.017,6.3,44.16,12.11,16,60,34,84,"Specific Gravity","BIAB"
"AMERICAN","PALE",48,1.053,1.013,5.24,34.27,8.51,161,60,30,75,"Specific Gravity","All Grain"
"TROPICAL","STOUT",12.3,1.06,1.018,5.57,30.14,7.41,28,60,33,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",11.36,1.057,1.017,5.32,55.57,3.84,40,60,22,65,"Specific Gravity","BIAB"
"OATMEAL","STOUT",5,1.066,1.012,6.99,0,40,167,90,39,70,"Specific Gravity","BIAB"
"ROBUST","PORTER",20.82,1.067,1.019,6.36,28.66,39.19,95,90,33,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",22,1.066,1.017,6.47,46.17,7.02,97,60,35,80,"Specific Gravity","BIAB"
"SPECIALTY","IPA",35,1.047,1.008,5.14,10.69,15.08,134,60,25,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.057,1.013,5.79,30.17,9.46,95,60,26,75,"Specific Gravity","All Grain"
"SWEET","STOUT",18.93,1.068,1.019,6.53,29.26,41.06,95,60,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",60,1.052,1.009,5.56,19.7,7.27,181,60,30,66,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.084,1.019,8.49,78.6,8.62,71,60,55,60,"Specific Gravity","All Grain"
"ENGLISH","PORTER",23,1.05,1.012,4.98,33.02,24.1,97,90,24,60,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.064,1.016,6.33,58.21,15.35,83,90,35,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.074,1.013,8.04,101.24,7.59,127,60,23,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",17.03,1.067,1.011,7.33,152.07,27.23,71,60,30,70,"Specific Gravity","BIAB"
"BELGIAN","PALE",24.61,1.057,1.007,6.59,80.43,6,122,90,22,83,"Specific Gravity","All Grain"
"BLONDE","ALE",18.93,1.041,1.008,4.34,26.31,4.64,7,60,52,80,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.083,1.012,9.21,197,6.9,95,60,45,80,"Specific Gravity","BIAB"
"DOUBLE","IPA",20.82,1.086,1.025,8.01,139.92,7.46,71,60,57,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",39.75,1.06,1.015,5.81,49.59,6.06,157,70,28,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",11.36,1.063,1.014,6.39,43.76,34.77,24,60,34,79,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.82,1.05,1.009,5.38,36.76,6.63,85,60,23,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.066,1.013,7.02,72.11,6.79,95,60,32,70,"Specific Gravity","All Grain"
"BLONDE","ALE",8.5,1.046,1.009,4.83,17.85,4.29,204,60,24,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.026,1.004,2.78,98.67,5.69,73,60,6,35,"Specific Gravity","All Grain"
"AMERICAN","IPA",21.5,1.055,1.012,5.69,12.91,4.21,78,60,29,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",22.71,1.036,1.009,3.47,25.72,3.18,95,60,13,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",3.79,1.053,1.013,5.19,57.86,10.08,168,60,17,60,"Specific Gravity","All Grain"
"AMERICAN","PORTER",12.3,1.059,1.015,5.79,37.12,34.81,28,60,32,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.068,1.017,6.7,70.21,40,95,60,34,75,"Specific Gravity","All Grain"
"BLONDE","ALE",32,1.043,1.011,4.25,26.34,7.13,137,60,17,70,"Specific Gravity","All Grain"
"BALTIC","PORTER",37.85,1.085,1.021,8.37,37.47,30.71,148,60,49,80,"Specific Gravity","All Grain"
"BLONDE","ALE",20,1.05,1.012,4.91,0,5.93,97,60,19,71,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.065,1.015,6.49,108.93,6.36,95,60,27,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",24,1.059,1.012,6.24,61.84,9.76,87,60,37,67,"Specific Gravity","All Grain"
"AMERICAN","PALE",28,1.049,1.011,4.94,47.44,7.17,124,60,23,73,"Specific Gravity","All Grain"
"SPECIALTY","IPA",22,1.058,1.01,6.31,57.09,10.01,63,60,39,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",11,1.07,1.013,7.48,60.77,11.16,48,60,24,60,"Specific Gravity","BIAB"
"DOUBLE","IPA",5,1.08,1.022,7.69,38,6.83,192,60,34,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",22.71,1.066,1.009,7.48,65.19,12.21,88,60,39,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",19.87,1.066,1.01,7.36,108.28,4.44,71,75,37,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.059,1.015,5.85,46.74,6.12,95,90,28,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.044,1.011,4.3,70.67,3.97,62,60,20,35,"Specific Gravity","extract"
"ENGLISH","IPA",20.82,1.056,1.014,5.46,51.88,10.85,95,90,25,72,"Specific Gravity","BIAB"
"SPECIALTY","IPA",56.78,1.059,1.011,6.34,79.13,4.44,182,60,34,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",40,1.067,1.011,7.23,87.81,10.98,161,75,32,35,"Specific Gravity","extract"
"BELGIAN","PALE",19,1.027,1.006,2.75,19.78,3.34,56,60,9,35,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.063,1.014,6.47,79.02,11.63,95,60,35,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.061,1.013,6.18,77.02,7.01,95,60,28,60,"Specific Gravity","All Grain"
"OATMEAL","STOUT",20.82,1.05,1.012,4.97,33.04,33.7,202,60,89,65,"Specific Gravity","extract"
"AMERICAN","PALE",35,1.066,1.015,6.65,34.29,6.05,134,60,42,76,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.048,1.012,4.76,26.07,4.13,73,60,32,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.064,1.016,6.27,40.82,9.16,71,60,38,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.054,1.013,5.31,104.69,6.16,97,60,24,60,"Specific Gravity","BIAB"
"ROBUST","PORTER",10,1.06,1.013,6.17,42.43,50,1,60,44,35,"Specific Gravity","extract"
"AMERICAN","IPA",11.36,1.066,1.016,6.6,57.29,7.02,31,60,31,70,"Specific Gravity","BIAB"
"DRY","STOUT",18.93,1.046,1.01,4.69,22.62,31.44,62,60,23,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.063,1.016,6.14,86.49,7.9,95,60,30,70,"Specific Gravity","All Grain"
"ROBUST","PORTER",3.03,1.056,1.013,5.58,71.86,29.69,150,75,14,70,"Specific Gravity","BIAB"
"IRISH","STOUT",23.66,1.047,1.013,4.52,50.78,27.39,90,60,25,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",5,1.141,1.025,15.2,90.38,43.28,183,90,82,85,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.82,1.021,1.003,2.25,25.1,3.07,83,60,3,35,"Specific Gravity","BIAB"
"OATMEAL","STOUT",20.82,1.059,1.016,5.65,28.64,30.08,95,60,27,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.062,1.014,6.42,58.88,6.72,71,90,32,75,"Specific Gravity","All Grain"
"OLD","ALE",20,1.097,1.028,9,52.29,24.46,73,90,61,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.099,1.027,9.48,33.9,6.81,95,90,63,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",45.42,14.4781,2.67335,6.36,52.46,8.61,155,60,127,70,"Plato","All Grain"
"IMPERIAL","IPA",20.82,1.09,1.021,9.02,121.67,9.92,95,60,50,66,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",19.87,1.056,1.01,6.05,114.68,9.28,202,60,96,60,"Specific Gravity","extract"
"ENGLISH","PORTER",18,13.0668,2.46055,5.68,33.7,27.34,59,60,120,63,"Plato","All Grain"
"AMERICAN","PORTER",37.85,1.077,1.021,7.42,56.54,32.73,95,60,84,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.048,1.008,5.2,44.69,7.88,73,60,24,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",16.7,1.052,1.012,5.21,72.51,5.64,48,60,29,73,"Specific Gravity","BIAB"
"SWEET","STOUT",18.93,1.079,1.027,6.89,31.41,38.8,7,60,103,35,"Specific Gravity","extract"
"AMERICAN","IPA",21.2,1.068,1.018,6.64,85.58,7.51,95,60,35,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",23.09,1.065,1.012,6.86,108.69,13.05,31,60,76,25,"Specific Gravity","extract"
"AMERICAN","IPA",22.71,1.066,1.013,7.01,79.02,6.75,83,90,41,80,"Specific Gravity","All Grain"
"IMPERIAL","IPA",3.79,1.104,1.018,11.38,59.69,14.86,150,90,53,65,"Specific Gravity","All Grain"
"SPECIALTY","IPA",23,1.043,1.007,4.7,68.88,13.07,131,60,10,51,"Specific Gravity","All Grain"
"AMERICAN","PALE",22,1.056,1.01,6.06,39.39,9.01,124,60,19,68,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.82,1.053,1.011,5.46,72.69,6.26,95,60,23,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.82,1.055,1.01,5.95,47.5,10.82,116,60,20,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.054,1.017,4.93,22.53,6,62,60,29,35,"Specific Gravity","extract"
"BROWN","PORTER",19.87,1.051,1.015,4.81,12.87,17.9,71,60,8,35,"Specific Gravity","extract"
"AMERICAN","STOUT",17.03,1.092,1.034,7.61,28.41,50,40,60,74,70,"Specific Gravity","BIAB"
"SPECIALTY","IPA",18.93,1.094,1.018,10.03,199.57,50,185,75,118,35,"Specific Gravity","extract"
"AMERICAN","IPA",23,1.066,1.016,6.59,55.79,5.83,93,60,38,80,"Specific Gravity","All Grain"
