"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"IMPERIAL","IPA",20.82,1.079,1.022,7.45,81.26,13.44,95,60,42,75,"Specific Gravity","All Grain"
"DOUBLE","IPA",41.64,1.073,1.012,7.94,52.33,5.72,145,60,48,83,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18.93,1.087,1.019,8.98,77.47,30.73,83,60,46,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.072,1.016,7.27,88.05,10.45,95,60,37,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.052,1.012,5.22,44.93,5.38,7,60,78,75,"Specific Gravity","Partial Mash"
"ROBUST","PORTER",18.93,1.064,1.016,6.29,64.72,40,7,60,87,35,"Specific Gravity","extract"
"AMERICAN","PALE",25,1.043,1.007,4.75,40.26,14.4,110,60,20,60,"Specific Gravity","All Grain"
"OATMEAL","STOUT",13,1.06,1.017,5.65,32.24,28.24,6,45,55,70,"Specific Gravity","All Grain"
"OLD","ALE",18.93,1.081,1.027,7.1,35.12,14.58,71,90,47,75,"Specific Gravity","All Grain"
"IRISH","STOUT",20.82,1.049,1.014,4.63,37.74,39.1,7,60,73,35,"Specific Gravity","extract"
"DRY","STOUT",21,1.045,1.011,4.43,30.22,34.73,6,60,69,35,"Specific Gravity","extract"
"AMERICAN","IPA",46,1.059,1.016,5.65,67.64,4.98,154,60,36,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,15.4528,4.01868,6.21,32.9,12.11,95,60,124,79,"Plato","All Grain"
"AMERICAN","PALE",18.93,1.066,1.012,6.99,182.46,4.28,7,60,90,35,"Specific Gravity","extract"
"ENGLISH","IPA",37.85,1.058,1.015,5.72,50.93,11.71,143,60,32,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",17.03,1.048,1.009,5.11,28.26,4.46,71,60,17,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",30,14.9537,3.74311,6.3,61.94,4.47,124,60,128,85,"Plato","All Grain"
"AMERICAN","IPA",23,1.071,1.018,7,68.96,9.72,1,60,25,35,"Specific Gravity","extract"
"ENGLISH","IPA",20.82,1.061,1.014,6.17,56.65,5.85,95,60,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.06,1.017,5.57,78.57,7.29,95,60,28,66,"Specific Gravity","All Grain"
"AMERICAN","IPA",810.08,1.061,1.014,6.16,100.29,10.79,206,60,39,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",15.5,1.047,1.012,4.68,43.96,5.8,19,60,38,62,"Specific Gravity","BIAB"
"BLONDE","ALE",20.82,1.05,1.009,5.49,29.51,3.37,83,60,24,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",22,13.8879,3.16904,5.77,68.04,14.17,93,60,122,60,"Plato","All Grain"
"AMERICAN","IPA",18.93,1.058,1.01,6.22,65.56,6.61,119,60,17,69,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.064,1.018,5.99,104.45,5.03,77,90,31,63,"Specific Gravity","BIAB"
"AMERICAN","PALE",22,1.046,1.008,5,44.87,5.89,97,30,19,67,"Specific Gravity","All Grain"
"AMERICAN","PORTER",23,1.044,1.011,4.35,33.06,37.54,107,60,18,64,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,1.06,1.015,6.11,101.82,10.31,107,80,30,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",13,1.062,1.013,6.43,53.51,6.93,53,90,23,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.061,1.015,6.03,33.95,11.46,185,60,111,35,"Specific Gravity","extract"
"BLONDE","ALE",25,1.054,1.011,5.62,45.41,5.69,107,90,29,85,"Specific Gravity","All Grain"
"BLONDE","ALE",26,1.055,1.009,5.93,36.81,12.85,121,60,26,60,"Specific Gravity","All Grain"
"SWEET","STOUT",25,1.069,1.019,6.63,29.97,50,97,60,45,63,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18.93,1.092,1.024,8.87,174.07,50,83,75,49,70,"Specific Gravity","All Grain"
"ROBUST","PORTER",42.59,1.066,1.023,5.59,31.71,28.26,155,90,30,69,"Specific Gravity","BIAB"
"AMERICAN","IPA",20,1.057,1.014,5.63,70.93,9.05,73,75,29,84,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.052,1.015,4.93,129.44,8.61,95,60,22,60,"Specific Gravity","All Grain"
"AMERICAN","IPA",492.1,1.054,1.01,5.82,55.56,3.63,140,60,45,80,"Specific Gravity","All Grain"
"DRY","STOUT",23,13.0353,3.50861,5.12,38.91,39.43,107,60,119,77,"Plato","All Grain"
"SWEET","STOUT",25,1.058,1.014,5.72,31.31,37.18,73,90,42,75,"Specific Gravity","All Grain"
"DOUBLE","IPA",13,1.083,1.017,8.65,67.82,7.02,36,60,51,64.5,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.065,1.012,6.9,57.08,3.74,62,20,44,35,"Specific Gravity","extract"
"DRY","STOUT",21,1.05,1.014,4.65,34.61,38.75,87,60,23,70,"Specific Gravity","BIAB"
"BLONDE","ALE",20.82,1.043,1.009,4.48,21.02,3.8,95,60,16,70,"Specific Gravity","All Grain"
"SWEET","STOUT",18.93,1.061,1.022,5.1,15.31,35.77,202,60,99,35,"Specific Gravity","extract"
