NOMBRE,NACIMIENTO,LUGAR_NACIMIENTO,ALTURA,PESO,POSICION,EQUIPO,MIN_JUGADOS,PART_JUGADOS,%_PART_JUGADOS,PART_COMPLETOS,%_PART_COMPL,PART_TITULAR,%_PART_TITU,PART_SUSTITUIDO,%PART_SUSTI,AMARILLA,ROJA,SEGUNDAMARILLA,GOLES,PENALRECIBIDO,GOLPROPIAPUERTA,GOL_ENCONTRA,URL,BLOQUEOS,INTERVENCIONES,RECUPERACIONES,DESPEJES,ENTRADAS,ENTRADASFALLIDOS,TUATU,DUELOEXITO,DUELOFALLIDO,DUEROAEREOEXITO,DUELOAEREOFALLIDO,TIROS,TIROSAPUERTA,ASISTENCIA,REGATES,REGATESFALLIDOS,GOLESDENTROAREA,GOLESFUERAAREA,GOLESIZDA,GOLESDCHA,GOLESPENAL,GOLCABEZA,GOLBALONPARADO,FUERAJUEGO,FALTARECIBIDA,FALTACOMETIDA,PENALCONTRA,MANOS,FALTAXTARJETA,CORNETS_LANZADOS,DUELOS,DUELOS_CUERPO_CUERPO,DUELOSAEREOS,PASES,PASES_CORTOS,PASES_LARGOS,PASES_HUECO,GOLESXTIRO,GOLESXFUERAAREA,GOLESDONTROAREA,GOLPARADO
Luca Sangalli Fuentes,10-02-1995,San Sebastián,167 cm,74 kg,Centrocampista,Real Sociedad,371,11,28.95,0,0.0,5,13.16,5,13.16,0,0,0,0,0,0,5,https://www.laliga.com/jugador/sangalli-1,0,1,34,0,0,1,0,23,20,9,4,5,5,1,6,3,0,0,0.0,0.0,0,0.0,0,0,7,1,0,0,0.0,3,43,30,13,186,136,4,1,0.0,0.0,0.0,0.0
Lucas Ocampos,11-07-1994,Buenos Aires,187 cm,84 kg,Delantero,Sevilla FC,2753,33,86.84,19,57.58,31,81.58,12,31.58,7,1,1,14,1,0,24,https://www.laliga.com/jugador/l-ocampos,2,22,141,22,31,23,0,207,275,30,39,70,36,3,67,85,14,0,0.01,0.16,5,0.03,0,12,56,42,0,4,6.0,1,482,413,69,839,644,26,0,0.2,0.0,0.2,0.0
Luis Ezequiel Ávila,06-02-1994,Rosario,172 cm,81 kg,Delantero,C.A. Osasuna,1593,20,52.63,14,70.0,18,47.37,4,10.53,6,0,0,9,1,0,22,https://www.laliga.com/jugador/chimy-avila,0,3,52,5,12,5,0,132,183,61,97,54,28,2,16,10,7,2,0.04,0.09,0,0.04,0,24,43,45,0,6,7.5,0,315,157,158,290,150,16,0,0.17,0.04,0.13,0.0
Luis Rafael Soares Alves,09-05-1995,Marco de Canaveses,177 cm,70 kg,Defensa,SD Eibar,437,6,15.79,3,50.0,6,15.79,3,7.89,1,0,0,0,0,0,6,https://www.laliga.com/jugador/rafa-soares,0,2,30,4,5,1,0,15,27,7,8,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0,0,2,5,0,0,5.0,7,42,27,15,135,82,14,0,0.0,0.0,0.0,0.0
Manuel Agudo Durán,15-10-1986,Sanlúcar de Barrameda,175 cm,65 kg,Delantero,RC Celta,1224,22,57.89,3,13.64,13,34.21,10,26.32,1,1,1,5,1,0,14,https://www.laliga.com/jugador/nolito,1,2,67,4,17,11,0,62,84,11,16,26,17,1,14,10,4,1,0.0,0.19,1,0.0,1,11,11,32,0,3,32.0,19,146,119,27,471,332,29,2,0.19,0.04,0.15,0.04
Marc Cardona,08-07-1995,Lérida,183 cm,70 kg,Delantero,C.A. Osasuna,702,19,50.0,0,0.0,9,23.68,9,23.68,1,0,0,1,0,0,16,https://www.laliga.com/jugador/m-cardona,1,2,24,2,0,1,0,32,76,12,40,11,4,2,10,9,1,0,0.0,0.09,0,0.0,0,8,9,8,0,0,8.0,0,108,56,52,168,119,6,0,0.09,0.0,0.09,0.0
Marc Cucurella,22-07-1998,Alella,172 cm,66 kg,Defensa,Getafe CF,3248,37,97.37,24,64.86,37,97.37,13,34.21,9,0,0,1,1,0,33,https://www.laliga.com/jugador/cucurella,8,36,242,22,52,23,0,211,263,55,82,21,6,5,23,26,1,0,0.05,0.0,0,0.0,0,6,62,77,0,4,8.56,16,474,337,137,1128,725,39,1,0.05,0.0,0.05,0.0
Marc Roca Junqué,26-11-1996,Vilafranca del Penedés,184 cm,74 kg,Centrocampista,RCD Espanyol de Barcelona,3019,35,92.11,24,68.57,35,92.11,11,28.95,8,0,0,2,0,0,52,https://www.laliga.com/jugador/marc-roca,10,32,210,50,52,30,0,151,212,34,49,16,5,1,15,11,2,0,0.13,0.0,2,0.0,0,0,23,79,0,3,9.88,19,363,280,83,1670,1206,149,2,0.13,0.0,0.13,0.0
Marc-André Ter Stegen,30-04-1992,Mönchengladbach,187 cm,85 kg,Portero,FC Barcelona,3240,36,94.74,36,100.0,36,94.74,0,0.0,1,0,0,0,0,0,36,https://www.laliga.com/jugador/ter-stegen,0,2,266,26,2,0,1,15,2,12,1,0,0,2,0,0,0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,0.0,0,17,4,13,1253,859,224,1,0.0,0.0,0.0,0.0
Marcelo Vieira da Silva,12-05-1988,Rio de Janeiro,174 cm,75 kg,Defensa,Real Madrid,1299,15,39.47,12,80.0,15,39.47,3,7.89,2,0,0,1,2,0,13,https://www.laliga.com/jugador/marcelo,2,18,91,18,11,8,1,65,49,10,7,13,5,2,18,6,1,0,0.08,0.0,0,0.0,0,0,18,7,0,1,3.5,0,114,97,17,888,699,49,2,0.08,0.0,0.08,0.0
